Nombre,Barcode,Categoria,FechaVencimiento,Marca,Precio,Stock
Pastel Chocolate,1000359,Panaderia,2026-04-08,Suspiros,350.00,10
Galletas Chispas,1000360,Panaderia,2026-05-15,Subway,14.00,300
Manzana Roja 1kg,1000361,Fruteria,2026-04-15,Campo,45.00,100
Platano Chiapas,1000362,Fruteria,2026-04-10,Chiquita,22.00,150
Naranja para Jugo,1000363,Fruteria,2026-04-20,Campo,18.00,200
Limon con Semilla,1000364,Fruteria,2026-04-15,Colima,35.00,120
Aguacate Hass 1kg,1000365,Fruteria,2026-04-12,Michoacan,85.00,80
Jitomate Saladet,1000366,Fruteria,2026-04-14,Sinaloa,32.00,110
Cebolla Blanca 1kg,1000367,Fruteria,2026-05-01,Campo,28.00,130
Papa Blanca 1kg,1000368,Fruteria,2026-05-10,Sabritas,38.00,90
Zanahoria 1kg,1000369,Fruteria,2026-05-05,Campo,15.00,140
Calabacita Indio,1000370,Fruteria,2026-04-12,Campo,24.00,100
Cilantro Manojo,1000371,Fruteria,2026-04-08,Campo,8.00,200
Ajo Bolsa 3pzs,1000372,Fruteria,2026-08-01,Campo,15.00,150
Chile Jalapeño,1000373,Fruteria,2026-04-20,Sinaloa,22.00,110
Chile Serrano,1000374,Fruteria,2026-04-20,Campo,28.00,100
Chile Poblano 1kg,1000375,Fruteria,2026-04-18,Campo,45.00,80
Sandia Roja pza,1000376,Fruteria,2026-04-15,Campo,65.00,40
Melon Chino pza,1000377,Fruteria,2026-04-15,Campo,38.00,60
Piña Miel pza,1000378,Fruteria,2026-04-15,Campo,42.00,70
Papaya Maradol 1kg,1000379,Fruteria,2026-04-12,Campo,32.00,90
Uva sin Semilla,1000380,Fruteria,2026-04-10,Sonora,95.00,50
Fresa Domo 454g,1000381,Fruteria,2026-04-08,Driscolls,65.00,40
Zarzamora Domo,1000382,Fruteria,2026-04-08,Driscolls,55.00,30
Frambuesa Domo,1000383,Fruteria,2026-04-08,Driscolls,55.00,30
Arandano Azul Domo,1000384,Fruteria,2026-04-10,Driscolls,48.00,45
Pera D Anjou 1kg,1000385,Fruteria,2026-04-20,USA,68.00,50
Mango Ataulfo 1kg,1000386,Fruteria,2026-04-15,Chiapas,42.00,75
Kiwi Importado,1000387,Fruteria,2026-04-25,Zespri,85.00,35
Toronja Roja 1kg,1000388,Fruteria,2026-04-30,Campo,22.00,80
Guayaba 1kg,1000389,Fruteria,2026-04-15,Michoacan,34.00,60
Durazno Prisco,1000390,Fruteria,2026-04-15,Campo,65.00,40
Brócoli pza,1000391,Fruteria,2026-04-12,Campo,22.00,90
Coliflor pza,1000392,Fruteria,2026-04-12,Campo,35.00,50
Lechuga Orejona,1000393,Fruteria,2026-04-10,Campo,18.00,120
Lechuga Romana,1000394,Fruteria,2026-04-10,Eva,22.00,100
Espinaca Bolsa,1000395,Fruteria,2026-04-10,Popeye,28.00,80
Champiñon Blanco,1000396,Fruteria,2026-04-08,Monteblanco,35.00,70
Portobello 2pzs,1000397,Fruteria,2026-04-08,Monteblanco,65.00,30
Nopal Limpio 1kg,1000398,Fruteria,2026-04-10,MilpaAlta,25.00,150
Pepino 1kg,1000399,Fruteria,2026-04-15,Campo,22.00,110
Apio Bolsa,1000400,Fruteria,2026-04-15,Campo,19.00,90
Betabel 1kg,1000401,Fruteria,2026-04-20,Campo,24.00,60
Rábano Manojo,1000402,Fruteria,2026-04-12,Campo,12.00,100
Camote Amarillo,1000403,Fruteria,2026-04-30,Campo,28.00,50
Elote Blanco pza,1000404,Fruteria,2026-04-10,Campo,8.50,250
Chayote Sin Espina,1000405,Fruteria,2026-04-15,Campo,18.00,120
Pimiento Rojo pza,1000406,Fruteria,2026-04-20,Campo,25.00,100
Pimiento Verde pza,1000407,Fruteria,2026-04-20,Campo,22.00,100
Ejote Verde 500g,1000408,Fruteria,2026-04-15,Campo,28.00,85
Jicama 1kg,1000409,Fruteria,2026-04-30,Campo,16.00,200
Garbanzo Verde,1000410,Fruteria,2026-04-15,Campo,35.00,70
Whisky Escoces 12,1000411,Licores,2035-01-01,Buchanans,850.00,30
Whisky Etiqueta N,1000412,Licores,2035-01-01,JohnnieWalker,920.00,25
Whisky Bourbon,1000413,Licores,2035-01-01,JackDaniels,650.00,40
Cognac VSOP,1000414,Licores,2035-01-01,Hennessy,1200.00,15
Mezcal Artesanal,1000415,Licores,2035-01-01,Amores,750.00,20
Tequila Añejo,1000416,Licores,2035-01-01,DonJulio,1100.00,18
Tequila Cristalino,1000417,Licores,2035-01-01,MaestroDobel,850.00,22
Vino Rosado 750ml,1000418,Licores,2028-12-31,L.A.Cetto,180.00,50
Vino Blanco Chardonnay,1000419,Licores,2028-12-31,Casillero,210.00,45
Champagne Brut,1000420,Licores,2030-01-01,Moet,1450.00,10
Ginebra Pink,1000421,Licores,2035-01-01,Beefeater,550.00,20
Vodka Tamarindo,1000422,Licores,2035-01-01,Smirnoff,280.00,60
Licor de Café,1000423,Licores,2035-01-01,Kahlua,320.00,35
Licor de Hierbas,1000424,Licores,2035-01-01,Jagermeister,480.00,40
Ron Blanco 1L,1000425,Licores,2035-01-01,Bacardi,210.00,100
Ron Especiado,1000426,Licores,2035-01-01,CaptainMorgan,240.00,55
Brandy Solera,1000427,Licores,2035-01-01,Torres,310.00,40
Anis Dulce,1000428,Licores,2035-01-01,Chinchon,220.00,25
Vermouth Rojo,1000429,Licores,2035-01-01,Martini,280.00,30
Sake 750ml,1000430,Licores,2028-01-01,Gekkeikan,350.00,15
Carpeta de Argolla,1000431,Papeleria,2035-01-01,WilsonJones,85.00,60
Separadores 5pzs,1000432,Papeleria,2035-01-01,Avery,25.00,150
Hojas Blancas 500,1000433,Papeleria,2035-01-01,Scribe,115.00,200
Hojas Rayadas 100,1000434,Papeleria,2035-01-01,Norma,35.00,180
Folder Carta 10pzs,1000435,Papeleria,2035-01-01,Oxford,28.00,300
Clips No. 2 Caja,1000436,Papeleria,2035-01-01,Acco,18.00,400
Engrapadora Metal,1000437,Papeleria,2035-01-01,Swingline,145.00,50
Grapas Caja 5000,1000438,Papeleria,2035-01-01,Swingline,45.00,100
Calculadora Cient,1000439,Papeleria,2035-01-01,Casio,320.00,40
Corrector Cinta,1000440,Papeleria,2035-01-01,TippEx,35.00,120
Goma en Barra 36g,1000441,Papeleria,2028-01-01,Pritt,42.00,150
Tijeras de Oficina,1000442,Papeleria,2035-01-01,Barrilito,55.00,110
Cinta Canela 50m,1000443,Papeleria,2035-01-01,Tuk,38.00,90
Cinta Transparente,1000444,Papeleria,2035-01-01,Scotch,15.00,300
Post-it Notas 3x3,1000445,Papeleria,2035-01-01,3M,48.00,120
Marcatextos Pastel,1000446,Papeleria,2035-01-01,Stabilo,120.00,80
Pluma Gel Negra,1000447,Papeleria,2030-01-01,Pentel,45.00,200
Boligrafo Azul 12,1000448,Papeleria,2030-01-01,Bic,55.00,150
Sacapuntas Electric,1000449,Papeleria,2030-01-01,Boston,450.00,15
Regla de Metal 30,1000450,Papeleria,2035-01-01,Staedtler,42.00,100
Mouse Gamer RGB,1000451,Tecnologia,2030-01-01,Razer,1200.00,25
Teclado Mecanico,1000452,Tecnologia,2030-01-01,Corsair,2400.00,15
Monitor 24 pulg,1000453,Tecnologia,2028-01-01,Samsung,3500.00,10
Laptop Oficina,1000454,Tecnologia,2028-01-01,HP,12500.00,8
Tablet 10 pulg,1000455,Tecnologia,2028-01-01,Lenovo,4800.00,12
Smartphone 128GB,1000456,Tecnologia,2028-01-01,Xiaomi,5500.00,20
Smartwatch Fit,1000457,Tecnologia,2028-01-01,Huawei,1800.00,35
Audifonos Wireless,1000458,Tecnologia,2028-01-01,Bose,4500.00,15
Camara Web HD,1000459,Tecnologia,2028-01-01,Logitech,1200.00,25
Microfono USB Cond,1000460,Tecnologia,2028-01-01,BlueYeti,2800.00,10
Bocinas 2.1 PC,1000461,Tecnologia,2030-01-01,Sony,1500.00,20
Disco Duro Ext 2TB,1000462,Tecnologia,2030-01-01,WD,1800.00,30
Router Wi-Fi 6,1000463,Tecnologia,2030-01-01,TP-Link,2200.00,15
Repetidor Wi-Fi,1000464,Tecnologia,2030-01-01,Xiaomi,450.00,40
Power Bank 20000,1000465,Tecnologia,2028-01-01,Adata,850.00,50
Cargador Inalambri,1000466,Tecnologia,2028-01-01,Samsung,650.00,45
Cable HDMI 4K,1000467,Tecnologia,2035-01-01,Belkin,380.00,60
Filtro de Privacid,1000468,Tecnologia,2035-01-01,3M,950.00,20
Limpiador Pantalla,1000469,Tecnologia,2028-01-01,Steren,120.00,100
Aire Comprimido,1000470,Tecnologia,2028-01-01,Silimex,145.00,80
Toallitas Isopropi,1000471,Tecnologia,2028-01-01,Zuum,85.00,150
Pasta Termica 4g,1000472,Tecnologia,2030-01-01,Arctic,220.00,50
Ventilador Gabinet,1000473,Tecnologia,2035-01-01,Noctua,450.00,40
Control Universal,1000474,Tecnologia,2035-01-01,Roku,350.00,60
Soporte TV 55,1000475,Tecnologia,2035-01-01,Steren,850.00,25
Pilas Recargables,1000476,Tecnologia,2030-01-01,Eneloop,450.00,40
Cargador Pilas,1000477,Tecnologia,2030-01-01,Sony,320.00,30
Lampara Escritorio,1000478,Tecnologia,2035-01-01,Ikea,550.00,35
Silla Oficina Erg,1000479,Hogar,2035-01-01,HermanMiller,8500.00,5
Escritorio Elevab,1000480,Hogar,2035-01-01,GAIA,4200.00,10
Estante Metalico,1000481,Hogar,2035-01-01,HomeDepot,1200.00,20
Caja Organizadora,1000482,Hogar,2035-01-01,Sterilite,180.00,100
Cesto de Basura,1000483,Hogar,2035-01-01,Rubbermaid,250.00,60
Perchero de Pared,1000484,Hogar,2035-01-01,Ikea,320.00,45
Cuadro Decorativo,1000485,Hogar,2035-01-01,Canvas,850.00,30
Reloj de Pared,1000486,Hogar,2035-01-01,Seiko,450.00,40
Espejo Cuerpo Ent,1000487,Hogar,2035-01-01,Ikea,1200.00,15
Tapete de Entrada,1000488,Hogar,2035-01-01,Betterware,220.00,80
Cojin Decorativo,1000489,Hogar,2035-01-01,GAIA,350.00,100
Manta Sofa,1000490,Hogar,2035-01-01,ZaraHome,650.00,40
Cortina Blackout,1000491,Hogar,2035-01-01,HomeDepot,850.00,25
Lampara de Pie,1000492,Hogar,2035-01-01,Philips,1200.00,15
Mesa de Centro,1000493,Hogar,2035-01-01,Ikea,1800.00,10
Sillon Reclinable,1000494,Hogar,2035-01-01,Ashley,6500.00,5
Zapatero 10 pares,1000495,Hogar,2035-01-01,Mainstays,450.00,40
Ganchos Ropa 10pzs,1000496,Hogar,2035-01-01,Huggies,120.00,150
Plancha de Vapor,1000497,Hogar,2030-01-01,BlackDecker,650.00,40
Burro de Planchar,1000498,Hogar,2035-01-01,T-Fal,850.00,20
Tendedero Plegabl,1000499,Hogar,2035-01-01,Betterware,420.00,35
Cesta Ropa Sucia,1000500,Hogar,2035-01-01,Sterilite,250.00,60
Sopa de Letras pza,1000501,Abarrotes,2027-10-10,LaModerna,8.50,400
Sopa Municion pza,1000502,Abarrotes,2027-10-10,LaModerna,8.50,400
Sopa Fideo pza,1000503,Abarrotes,2027-10-10,LaModerna,8.50,400
Sopa Codito No. 2,1000504,Abarrotes,2027-10-10,LaModerna,8.50,400
Pasta Fetuccini,1000505,Pastas,2027-05-15,Barilla,22.00,150
Pasta Fusilli,1000506,Pastas,2027-05-15,Barilla,22.00,150
Pasta Lasagna pzs,1000507,Pastas,2027-08-20,Barilla,65.00,80
Salsa para Pasta,1000508,Abarrotes,2026-12-31,Prego,45.00,120
Salsa Alfredo 400,1000509,Abarrotes,2026-12-31,Bertolli,65.00,70
Pesto de Albahaca,1000510,Abarrotes,2026-10-10,Kirkland,180.00,40
Aceite de Aguacat,1000511,Abarrotes,2027-05-05,ChosenFoods,165.00,50
Aceite de Uva 1L,1000512,Abarrotes,2027-04-12,Grapeseed,145.00,45
Manteca de Cacao,1000513,Abarrotes,2027-12-31,Hershey,85.00,30
Jarabe Granadina,1000514,Bebidas,2027-11-20,Madrileña,85.00,40
Jarabe de Horchat,1000515,Bebidas,2026-12-31,Kermato,45.00,60
Clamato Preparado,1000516,Bebidas,2026-08-25,Motta,38.00,120
Agua de Coco 1L,1000517,Bebidas,2026-07-20,Acapulcoco,45.00,100
Leche Conden Light,1000518,Lacteos,2027-05-15,LaLechera,28.00,150
Leche Evapor Light,1000519,Lacteos,2027-06-30,Carnation,22.00,180
Queso Cotija 200g,1000520,Lacteos,2026-04-10,LosAltos,45.00,90
Queso Chihuahua,1000521,Lacteos,2026-05-12,Lala,110.00,50
Queso Gouda Reban,1000522,Lacteos,2026-04-15,Fud,65.00,75
Queso de Cabra Nat,1000523,Lacteos,2026-03-30,President,85.00,40
Requeson Fresco,1000524,Lacteos,2026-03-22,Generico,32.00,60
Crema Batida Can,1000525,Lacteos,2026-04-05,ReddiWip,65.00,55
Yogurt Griego Fre,1000526,Lacteos,2026-03-25,Fage,32.00,110
Kefir Natural 1L,1000527,Lacteos,2026-03-25,Lifeway,85.00,30
Jamon de Pechuga,1000528,Embutidos,2026-04-05,SanRafael,55.00,80
Salchicha Viena,1000529,Embutidos,2026-05-10,Fud,28.00,200
Tocino Picado 200,1000530,Embutidos,2026-04-12,OscarMayer,65.00,90
Pechuga de Pavo H,1000531,Embutidos,2026-04-05,Peñaranda,110.00,40
Lomo Embuchado,1000532,Embutidos,2026-06-15,Tangamanga,145.00,30
Salami con Pimien,1000533,Embutidos,2026-06-15,Peñaranda,135.00,35
Chorizo Argentino,1000534,Embutidos,2026-04-30,Tangamanga,110.00,45
Pastrami Ahumado,1000535,Embutidos,2026-04-05,Peñaranda,145.00,25
Mortadela de Pavo,1000536,Embutidos,2026-04-20,Fud,45.00,120
Salchicha de Res,1000537,Embutidos,2026-05-15,Bernina,95.00,50
Cecina de Res 500,1000538,Carniceria,2026-03-28,Yecapixtla,180.00,30
Carne Molida Sirlo,1000539,Carniceria,2026-03-25,SuKarne,145.00,45
Bisteck de Diezmi,1000540,Carniceria,2026-03-25,SuKarne,165.00,40
Pechuga de Pollo,1000541,Carniceria,2026-03-25,Pilgrims,120.00,60
Pierna y Muslo pzs,1000542,Carniceria,2026-03-25,Pilgrims,65.00,100
Chuleta de Cerdo,1000543,Carniceria,2026-03-25,Fud,110.00,50
Costilla de Cerdo,1000544,Carniceria,2026-03-25,SuKarne,135.00,40
Pescado Tilapia,1000545,Carniceria,2026-03-30,Marketside,110.00,60
Filete de Salmon,1000546,Carniceria,2026-03-30,Costco,450.00,20
Camaron Pacifico,1000547,Carniceria,2026-03-30,OceanGarden,350.00,30
Pulpo Cocido 500g,1000548,Carniceria,2026-03-30,Marketside,280.00,15
Atun Aleta Amaril,1000549,Carniceria,2026-03-30,Dolores,120.00,40
Mejillones en Con,1000550,Carniceria,2026-03-30,Marketside,180.00,25
Muneca de Trapo,1000551,Jugueteria,2035-01-01,FisherPrice,250.00,40
Carrito de Metal,1000552,Jugueteria,2035-01-01,HotWheels,35.00,200
Bloques Madera 50,1000553,Jugueteria,2035-01-01,MelissaDoug,450.00,30
Pelota de Futbol,1000554,Deportes,2030-01-01,Adidas,550.00,60
Balon Basquetbol,1000555,Deportes,2030-01-01,Wilson,480.00,45
Raqueta Tenis Adult,1000556,Deportes,2030-01-01,Babolat,1200.00,15
Pesas 5kg Par,1000557,Deportes,2035-01-01,SportCity,350.00,25
Tapete Yoga Azul,1000558,Deportes,2030-01-01,Gaiam,420.00,40
Cuerda para Saltar,1000559,Deportes,2030-01-01,Everlast,120.00,100
Bicicleta Urbana,1000560,Deportes,2030-01-01,Benotto,4500.00,10
Casco Ciclista M,1000561,Deportes,2028-01-01,Bell,850.00,20
Lentes Natacion,1000562,Deportes,2028-01-01,Speedo,320.00,50
Gorra Natacion Sil,1000563,Deportes,2028-01-01,Arena,150.00,80
Tierra Preparada 5,1000564,Jardineria,2028-01-01,Vita,85.00,100
Fertilizante Univ,1000565,Jardineria,2027-05-15,MiracleGro,145.00,60
Maceton de Barro,1000566,Jardineria,2035-01-01,Artesanal,280.00,25
Regadera Plastica,1000567,Jardineria,2035-01-01,Pretul,120.00,40
Semillas Tomate,1000568,Jardineria,2027-12-31,Vita,25.00,150
Semillas Girasol J,1000569,Jardineria,2027-12-31,Vita,25.00,150
Pala de Mano Acero,1000570,Jardineria,2035-01-01,Truper,65.00,80
Tijera Podar Curva,1000571,Jardineria,2035-01-01,Fiskars,320.00,30
Aceite Motor 15W40,1000572,Automotriz,2028-01-01,QuakerState,165.00,100
Liquido Frenos,1000573,Automotriz,2028-01-01,Bardahl,85.00,60
Anticongelante 1L,1000574,Automotriz,2028-01-01,Prestone,110.00,80
Liquido Limpiapara,1000575,Automotriz,2028-01-01,Steren,45.00,120
Cera para Auto 400,1000576,Automotriz,2028-01-01,Meguiars,320.00,40
Shampoo con Cera,1000577,Automotriz,2028-01-01,ArmorAll,120.00,70
Aromatizante Pino,1000578,Automotriz,2028-01-01,LittleTrees,25.00,200
Llanta 185/60 R15,1000579,Automotriz,2030-01-01,Michelin,1850.00,16
Bateria Auto 12V,1000580,Automotriz,2028-01-01,LTH,2400.00,12
Fórmula Etapa 1,1000581,Bebes,2026-12-31,Enfamil,450.00,80
Papilla Manzana,1000582,Bebes,2027-05-20,Gerber,18.00,300
Papilla Pollo Veg,1000583,Bebes,2027-05-20,Gerber,22.00,250
Biberon 8oz Antico,1000584,Bebes,2035-01-01,Evenflo,145.00,60
Chupon de Silicon,1000585,Bebes,2035-01-01,Avent,85.00,100
Mordedera de Goma,1000586,Bebes,2035-01-01,Nuk,65.00,120
Sonaja de Colores,1000587,Bebes,2035-01-01,Playgro,110.00,50
Toallitas Hum 80p,1000588,Bebes,2027-10-10,Huggies,42.00,200
Pañales Etapa 4 60,1000589,Bebes,2028-01-01,Pampers,380.00,40
Talco para Bebe,1000590,Bebes,2027-01-01,Johnson,65.00,90
Aceite para Bebe,1000591,Bebes,2027-01-01,Mennen,55.00,110
Crema Antipanaliti,1000592,Bebes,2027-10-10,Desitin,120.00,70
Colonia para Bebe,1000593,Bebes,2027-01-01,RicitosDeOro,48.00,130
Jabón de Baño Bebe,1000594,Bebes,2027-01-01,DoveBaby,32.00,150
Sueter de Lana M,1000595,Ropa,2035-01-01,Zara,650.00,30
Pantalón Mezclill,1000596,Ropa,2035-01-01,Levis,850.00,45
Short Deportivo G,1000597,Ropa,2035-01-01,Nike,420.00,60
Sudadera con Gorro,1000598,Ropa,2035-01-01,Gap,550.00,40
Calcetas Largas 3p,1000599,Ropa,2035-01-01,Puma,110.00,120
Pijama de Algodon,1000600,Ropa,2035-01-01,Oysho,380.00,55
Playera Polo Azul,1000601,Ropa,2035-01-01,Lacoste,1100.00,20
Sandalias de Play,1000602,Ropa,2035-01-01,Quiksilver,280.00,70
Bufanda de Seda,1000603,Ropa,2035-01-01,Gucci,2500.00,5
Guantes para Frio,1000604,Ropa,2035-01-01,NorthFace,450.00,25
Botas de Lluvia,1000605,Ropa,2035-01-01,Hunter,1200.00,15
Paraguas Portatil,1000606,Hogar,2035-01-01,Totes,220.00,80
Bascula de Cocina,1000607,Hogar,2035-01-01,Ozeri,350.00,30
Licuadora 10 vel,1000608,Hogar,2030-01-01,Oster,1200.00,20
Tostadora 2 Reban,1000609,Hogar,2030-01-01,Hamilton,550.00,25
Cafetera de Goteo,1000610,Hogar,2030-01-01,MrCoffee,850.00,18
Hervidor Electric,1000611,Hogar,2030-01-01,T-Fal,480.00,35
Batidora de Mano,1000612,Hogar,2030-01-01,KitchenAid,950.00,15
Exprimidor de Citr,1000613,Hogar,2030-01-01,BlackDecker,320.00,40
Sarten Antiadheren,1000614,Hogar,2035-01-01,Ecko,280.00,60
Olla de Presion 6L,1000615,Hogar,2035-01-01,Presto,1100.00,25
Cuchillo Chef 8,1000616,Hogar,2035-01-01,Victorinox,650.00,35
Tabla para Picar,1000617,Hogar,2035-01-01,Mainstays,110.00,100
Juego de Cubiertos,1000618,Hogar,2035-01-01,Oneida,850.00,30
Vasos de Vidrio 6p,1000619,Hogar,2035-01-01,Libbey,220.00,50
Platos Ceramica 4p,1000620,Hogar,2035-01-01,Corelle,550.00,40
Toalla de Manos,1000621,Hogar,2035-01-01,Cannon,85.00,150
Toalla de Baño G,1000622,Hogar,2035-01-01,Hilasal,280.00,90
Cortina de Ducha,1000623,Hogar,2035-01-01,InterDesign,180.00,60
Tapete de Baño,1000624,Hogar,2035-01-01,Utopia,150.00,85
Espejo de Aumento,1000625,Hogar,2035-01-01,Conair,320.00,30
Secadora de Pelo,1000626,Belleza,2030-01-01,Remington,550.00,45
Plancha Alaciador,1000627,Belleza,2030-01-01,Babyliss,1100.00,25
Gel para Cabello,1000628,Belleza,2027-01-01,Ego,35.00,200
Spray Fijador,1000629,Belleza,2027-01-01,Pantene,65.00,120
Esmalte de Unas,1000630,Belleza,2027-12-31,Revlon,45.00,300
Quitaesmalte 100ml,1000631,Belleza,2028-01-01,Zuum,25.00,150
Crema de Manos,1000632,Belleza,2027-05-15,Vaseline,42.00,110
Mascarilla Facial,1000633,Belleza,2027-01-01,Garnier,28.00,400
Labial Mate Rojo,1000634,Belleza,2028-12-31,Maybelline,120.00,100
Mascara de Pestaña,1000635,Belleza,2027-06-30,Loreal,180.00,85
Base de Maquillaje,1000636,Belleza,2027-10-10,MAC,450.00,40
Polvo Compacto,1000637,Belleza,2027-12-31,Clinique,380.00,50
Sombras de Ojos,1000638,Belleza,2028-01-01,UrbanDecay,950.00,20
Delineador Negro,1000639,Belleza,2028-01-01,Bisu,45.00,200
Brocha Maquillaje,1000640,Belleza,2035-01-01,EcoTools,110.00,100
Perfume Dama 100ml,1000641,Belleza,2035-01-01,Chanel,2200.00,10
Locion Caballero,1000642,Belleza,2035-01-01,Dior,1850.00,15
Desodorante Barra,1000643,Higiene,2027-01-01,Secret,55.00,180
Enjuague Bucal 1L,1000644,Higiene,2027-10-10,Listerine,95.00,120
Hebra Dental 50m,1000645,Higiene,2030-12-31,OralB,38.00,200
Papel Higienico 12,1000646,Higiene,2030-01-01,Cottonelle,85.00,150
Servilletas 200pzs,1000647,Higiene,2030-01-01,Viva,32.00,300
Pañuelos Caja 90p,1000648,Higiene,2030-01-01,Puff,25.00,250
Hisopos de Algodon,1000649,Higiene,2030-01-01,Q-Tips,35.00,200
Rastrillo Desechab,1000650,Higiene,2030-01-01,Gillette,110.00,100
Vino Espumoso 750,1000651,Licores,2028-12-31,Astoria,350.00,40
Sake Premium 720m,1000652,Licores,2028-01-01,Kubota,850.00,15
Licor de Naranja,1000653,Licores,2035-01-01,Controy,280.00,35
Vermouth Blanco,1000654,Licores,2035-01-01,Cinzano,220.00,30
Cerveza Artesanal,1000655,Bebidas,2026-10-10,Minerva,45.00,120
Sidra de Manzana,1000656,Bebidas,2027-01-01,SantaClaus,110.00,60
Agua con Gas 355ml,1000657,Bebidas,2026-12-31,TopoChico,18.00,300
Refresco de Lima L,1000658,Bebidas,2026-06-30,7Up,17.00,250
Bebida Independien,1000659,Bebidas,2026-05-15,Jarritos,12.00,400
Te Helado Durazno,1000660,Bebidas,2026-12-31,Arizona,15.00,500
Jugo de Granada,1000661,Bebidas,2026-08-20,PomWonderful,65.00,45
Nectar de Pera 1L,1000662,Bebidas,2026-09-05,Boing,18.00,140
Bebida de Avena 1L,1000663,Lacteos,2026-06-15,Oatly,55.00,70
Yogurt Griego Fresa,1000664,Lacteos,2026-04-10,Oikos,24.00,100
Queso Edam Bola,1000665,Lacteos,2026-08-20,Kroon,320.00,15
Queso Provolone,1000666,Lacteos,2026-05-15,Belgioioso,110.00,30
Queso Feta 200g,1000667,Lacteos,2026-04-30,Dodoni,85.00,45
Mantequilla de Cab,1000668,Lacteos,2026-05-10,Meyenberg,65.00,25
Helado Menta Choco,1000669,Congelados,2026-06-30,BenJerrys,145.00,35
Sorbete Mango 1L,1000670,Congelados,2026-06-15,HaagenDazs,165.00,30
Waffles Congelados,1000671,Congelados,2026-08-10,Eggo,65.00,80
Papitas Sonrisas,1000672,Congelados,2026-10-20,McCain,55.00,110
Lasagna Congelada,1000673,Congelados,2026-05-20,Stouffers,110.00,50
Burritos Congelad,1000674,Congelados,2026-04-15,Amy,45.00,90
Pechuga de Pollo E,1000675,Congelados,2026-09-10,Tyson,145.00,40
Camarones Empaniz,1000676,Congelados,2026-08-25,Marketside,180.00,35
Frutos Rojos Cong,1000677,Congelados,2026-12-31,LaHuerta,85.00,60
Espinacas Picadas,1000678,Congelados,2026-11-20,LaHuerta,25.00,120
Mezcla California,1000679,Congelados,2026-11-20,LaHuerta,28.00,110
Papas Hash Brown,1000680,Congelados,2026-10-15,OreIda,65.00,85
Arroz Chino Cong,1000681,Congelados,2026-05-10,TaiPei,55.00,75
Dumplings Cong,1000682,Congelados,2026-04-20,Bibigo,120.00,45
Base Pizza Cong,1000683,Congelados,2026-08-30,MamaRosa,42.00,100
Masa Hojaldre Con,1000684,Congelados,2026-09-15,Pillsbury,85.00,55
Pay de Queso Cong,1000685,Congelados,2026-04-10,Edwards,165.00,25
Pastel Helado pza,1000686,Congelados,2026-03-30,DairyQueen,380.00,10
Hielo en Cubos 2kg,1000687,Hogar,2026-04-05,Generico,18.00,200
Bolsas Congelar 20,1000688,Hogar,2030-12-31,Ziploc,55.00,150
Contenedor Vidrio,1000689,Hogar,2035-01-01,Pyrex,180.00,60
Taza Ceramica Blan,1000690,Hogar,2035-01-01,Ikea,25.00,200
Jarra de Agua 2L,1000691,Hogar,2035-01-01,Rubbermaid,85.00,50
Colador Inoxidabl,1000692,Hogar,2035-01-01,Farberware,110.00,45
Rallador Queso 4c,1000693,Hogar,2035-01-01,KitchenAid,220.00,35
Pelador de Papas,1000694,Hogar,2035-01-01,Oxo,85.00,90
Abridor de Latas,1000695,Hogar,2035-01-01,SwingAway,145.00,55
Sacacorchos Pro,1000696,Hogar,2035-01-01,Pulltaps,110.00,80
Guante de Cocina,1000697,Hogar,2035-01-01,Mainstays,45.00,120
Delantal de Algod,1000698,Hogar,2035-01-01,WilliamSonoma,280.00,30
Mantel de Mesa 6p,1000699,Hogar,2035-01-01,Target,320.00,40
Individual Plastico,1000700,Hogar,2035-01-01,BedBath,22.00,200
Silla de Playa,1000701,Deportes,2035-01-01,Coleman,650.00,30
Hielera 28 Cuart,1000702,Deportes,2035-01-01,Igloo,850.00,20
Sombrilla Playa,1000703,Deportes,2035-01-01,TommyBahama,550.00,25
Inflador de Globos,1000704,Jugueteria,2035-01-01,Generico,45.00,100
Pistola de Agua,1000705,Jugueteria,2035-01-01,Nerf,320.00,60
Burbujas Jabon,1000706,Jugueteria,2028-01-01,Gazillion,28.00,250
Set de Playa 5pzs,1000707,Jugueteria,2035-01-01,Disney,145.00,80
Frisbee de Plast,1000708,Jugueteria,2035-01-01,WhamO,65.00,150
Cometa de Tela,1000709,Jugueteria,2035-01-01,MelissaDoug,120.00,55
Tizas para Acera,1000710,Jugueteria,2035-01-01,Crayola,45.00,200
Plastilina 4 botes,1000711,Jugueteria,2027-12-31,PlayDoh,85.00,150
Crayones 24 pzs,1000712,Jugueteria,2035-01-01,Crayola,32.00,300
Acuarelas 12 col,1000713,Jugueteria,2028-01-01,Pelikan,48.00,180
Libro para Colore,1000714,Jugueteria,2035-01-01,Disney,25.00,400
Puzzle 1000 pzs,1000715,Jugueteria,2035-01-01,Ravensburger,350.00,45
Juego de Mesa Uno,1000716,Jugueteria,2035-01-01,Mattel,110.00,120
Baraja Española,1000717,Jugueteria,2035-01-01,Bicycle,45.00,200
Domino Profesional,1000718,Jugueteria,2035-01-01,Cardinal,220.00,80
Ajedrez de Madera,1000719,Jugueteria,2035-01-01,Pressman,450.00,30
Jenga Clasico,1000720,Jugueteria,2035-01-01,Hasbro,280.00,60
